Country,Clicks,Impressions,CTR,Position
Malta,4,1210,0.33%,46.35
India,3,89,3.37%,48.42
Brazil,1,82,1.22%,51.29
Bangladesh,1,25,4%,57.68
France,1,23,4.35%,22.61
Netherlands,1,23,4.35%,34.39
South Africa,1,6,16.67%,32.17
Ireland,1,3,33.33%,5
United States,0,279,0%,23.09
United Kingdom,0,122,0%,39.77
Vietnam,0,93,0%,61.32
Russia,0,68,0%,53.96
Indonesia,0,66,0%,56.68
United Arab Emirates,0,56,0%,51.34
Philippines,0,55,0%,61.25
Pakistan,0,45,0%,48.36
Italy,0,44,0%,43.89
Thailand,0,41,0%,62.8
Mexico,0,35,0%,60.97
Canada,0,30,0%,30.4
Argentina,0,30,0%,69.43
Egypt,0,28,0%,60.79
Spain,0,26,0%,51.5
Saudi Arabia,0,22,0%,59.18
Ukraine,0,22,0%,68.09
Poland,0,21,0%,54.38
Peru,0,21,0%,57.48
Australia,0,20,0%,41
Germany,0,20,0%,59.65
Bulgaria,0,19,0%,59.26
Singapore,0,18,0%,8.28
South Korea,0,16,0%,53.44
Venezuela,0,16,0%,59.62
Japan,0,15,0%,60.2
Belarus,0,14,0%,70.71
Colombia,0,13,0%,69.77
Hungary,0,13,0%,72
China,0,12,0%,4.42
Serbia,0,11,0%,45
Turkey,0,11,0%,50.55
Morocco,0,11,0%,53.45
Ecuador,0,11,0%,61.09
Switzerland,0,10,0%,11.7
Romania,0,10,0%,53.2
Sweden,0,9,0%,19.56
Croatia,0,9,0%,44.33
Kazakhstan,0,9,0%,55.11
Slovakia,0,9,0%,73
Taiwan,0,9,0%,75.44
Algeria,0,8,0%,42
Dominican Republic,0,8,0%,67.38
Nepal,0,7,0%,36.43
Belgium,0,7,0%,44
Malaysia,0,7,0%,57.71
Kenya,0,7,0%,62.29
Bolivia,0,6,0%,36.5
Ghana,0,6,0%,43.67
Chile,0,6,0%,51.67
Nigeria,0,6,0%,60.33
Austria,0,5,0%,8
Portugal,0,5,0%,50.8
Myanmar (Burma),0,5,0%,63.8
Czechia,0,5,0%,65.8
Bosnia & Herzegovina,0,5,0%,66.4
Qatar,0,5,0%,66.4
Cambodia,0,4,0%,41
Libya,0,4,0%,51.25
Uruguay,0,4,0%,52.25
Sri Lanka,0,4,0%,65.5
Senegal,0,4,0%,74.25
Unknown Region,0,3,0%,10.33
Denmark,0,3,0%,18
Estonia,0,3,0%,20
Oman,0,3,0%,33.67
Lebanon,0,3,0%,48
Greece,0,3,0%,48.33
Slovenia,0,3,0%,57.33
Norway,0,3,0%,69.67
Rwanda,0,3,0%,81.33
Lithuania,0,3,0%,83
Latvia,0,2,0%,5
Cuba,0,2,0%,10.5
Ethiopia,0,2,0%,19
New Zealand,0,2,0%,36.5
Benin,0,2,0%,40
Israel,0,2,0%,47.5
Zimbabwe,0,2,0%,50.5
Jordan,0,2,0%,51.5
Jersey,0,2,0%,56
Georgia,0,2,0%,58.5
Puerto Rico,0,2,0%,58.5
Uzbekistan,0,2,0%,61
Burkina Faso,0,2,0%,67
Zambia,0,2,0%,78
Hong Kong,0,2,0%,81
Finland,0,1,0%,1
Mozambique,0,1,0%,1
Barbados,0,1,0%,9
Congo - Kinshasa,0,1,0%,9
Macedonia,0,1,0%,10
Azerbaijan,0,1,0%,20
Kyrgyzstan,0,1,0%,40
Mauritius,0,1,0%,57
Paraguay,0,1,0%,61
Palestine,0,1,0%,64
Iraq,0,1,0%,66
Kuwait,0,1,0%,71
Fiji,0,1,0%,73
Guatemala,0,1,0%,79
Costa Rica,0,1,0%,81
Botswana,0,1,0%,85
Macau,0,1,0%,85
Honduras,0,1,0%,86
Armenia,0,1,0%,87
Nicaragua,0,1,0%,87
Cameroon,0,1,0%,98
Mongolia,0,1,0%,98
